province;red;green;blue;x;x
155;150;86;0;Szolnok;Szolnok
156;22;88;64;Banat;Banat
157;150;90;128;Partium;Partium
158;22;92;192;Transylvania;Transylvania
159;150;94;255;Silistria;Silistria
160;22;96;0;Oltenia;Oltenia
161;151;98;64;Wallachia;Wallachia
162;23;100;128;Carpathia;Carpathia
163;151;102;192;Crete;Crete
164;23;104;255;Naxos;Naxos
165;151;106;0;Bern;Bern
166;23;108;64;Schwyz;Schwyz
167;151;110;128;Caux;Caux
168;24;112;192;Normandie;Normandie
169;152;114;255;Armor;Armor
170;24;116;0;Finist??re;Finist??re
171;152;118;64;Morbihan;Morbihan
172;24;120;128;Vend??e;Vend??e
173;152;122;192;Labourd;Labourd
174;24;124;255;Gascogne;Gascogne
175;153;126;0;Armagnac;Armagnac
176;25;128;64;B??arn;B??arn
177;153;130;128;Maine;Maine
178;25;132;192;Anjou;Anjou
179;153;134;255;Berry;Berry
180;25;136;0;Poitou;Poitou
181;153;138;64;Valenciennes;Valenciennes
182;26;140;128;Vermandois;Vermandois
183;154;142;192;?le-de-France;?le-de-France
184;26;144;255;Orl??annais;Orl??annais
185;147;222;218;Nemours;Nemours
186;26;148;64;Champagne;Champagne
187;154;150;128;Barrois;Barrois
188;26;152;192;Metz;Metz
189;155;154;255;Lothringen;Lothringen
190;27;156;0;Bourbon;Bourbon
191;155;158;64;Nevers;Nevers
192;27;32;128;Bourgogne;Bourgogne
193;155;34;192;Franche-Comt??;Franche-Comt??
194;27;36;255;P??rigord;P??rigord
195;155;38;0;Limousin;Limousin
196;28;40;64;Toulouse;Toulouse
197;156;42;128;Roussillon;Roussillon
198;28;44;192;Rouergue;Rouergue
199;156;46;255;Auvergne;Auvergne
200;28;248;0;Languedoc;Languedoc
201;156;50;64;Toulon;Toulon
202;28;52;128;Avignon;Avignon
203;157;54;192;Lyonnais;Lyonnais
204;29;56;255;Dauphin??;Dauphin??
205;157;58;0;Savoie;Savoie
206;29;60;64;Galicia;Galicia
207;157;62;128;Asturias;Asturias
208;29;64;192;Le??n;Le??n
209;157;66;255;Vizcaya;Vizcaya
210;30;68;0;Navarra;Navarra
211;158;70;64;Pirineo;Pirineo
212;30;72;128;Girona;Girona
213;158;74;192;Barcelona;Barcelona
214;30;76;255;Zaragoza;Zaragoza
215;158;78;0;Castilla La Vieja;Castilla La Vieja
216;30;80;64;Salamanca;Salamanca
217;159;82;128;Madrid;Madrid
218;31;84;192;Badajoz;Badajoz
219;159;86;255;Toledo;Toledo
220;31;88;0;Val??ncia;Val??ncia
221;159;90;64;Murcia;Murcia
222;31;92;128;Almer??a;Almer??a
223;159;94;192;Granada;Granada
224;32;96;255;Andaluc??a;Andaluc??a
225;160;98;0;C??rdoba;C??rdoba
226;32;100;64;Gibraltar;Gibraltar
227;160;102;128;Lisboa;Lisboa
228;32;104;192;Beira;Beira
229;160;106;255;Beja;Beja
230;32;108;0;Algarve;Algarve
231;161;110;64;Porto;Porto
232;33;112;128;Bragan?a;Bragan?a
233;166;203;93;Cornwall;Cornwall
234;33;116;255;Wessex;Wessex
235;161;118;0;Kent;Kent
236;33;120;64;London;London
237;161;122;128;Oxfordshire;Oxfordshire
238;34;124;192;Essex;Essex
239;162;126;255;Gloucestershire;Gloucestershire
240;34;128;0;Shrewsbury;Shrewsbury
241;162;130;64;Glamorgan;Glamorgan
242;34;132;128;Gwynedd;Gwynedd
243;162;134;192;Lincoln;Lincoln
244;34;136;255;Lancashire;Lancashire
245;163;138;0;Yorkshire;Yorkshire
246;35;140;64;Northumberland;Northumberland
247;163;142;128;Cumbria;Cumbria
248;35;144;192;Lothian;Lothian
249;163;146;255;Ayrshire;Ayrshire
250;35;148;0;Perth;Perth
251;163;150;64;Aberdeen;Aberdeen
252;36;152;128;Inverness;Inverness
253;164;154;192;Outer Hebrides;Outer Hebrides
254;36;156;255;Poznan;Poznan
255;164;158;0;Kalisz;Kalisz
256;36;32;64;Plock;Plock
257;164;34;128;Mazovia;Mazovia
258;36;36;192;Lodz;Lodz
259;165;38;255;Sandomir;Sandomir
260;37;40;0;Galicien;Galicien
261;165;42;64;Halicz;Halicz
262;37;44;128;Krakow;Krakow
263;165;46;192;Ratibor;Ratibor
264;37;48;255;Breslau;Breslau
265;165;50;0;Moravia;Moravia
266;38;52;64;Bohemia;Bohemia
267;166;54;128;Plsen;Plsen
268;38;56;192;Bessarabia;Bessarabia
269;166;58;255;Podlasia;Podlasia
270;38;60;0;Troki;Troki
271;166;62;64;Samogitia;Samogitia
272;38;64;128;Lithuania;Lithuania
273;167;66;192;Letgallen;Letgallen
274;39;68;255;Pskov;Pskov
275;167;70;0;Polotsk;Polotsk
276;39;72;64;Minsk;Minsk
277;167;74;128;Grodno;Grodno
278;39;76;192;Polesia;Polesia
279;167;78;255;Volhynia;Volhynia
280;40;80;0;Kiev;Kiev
281;168;82;64;Podolia;Podolia
282;40;84;128;Yedisan;Yedisan
283;168;86;192;Zaporozhia;Zaporozhia
284;40;88;255;Crimea;Crimea
285;168;90;0;Kaffa;Kaffa
286;40;92;64;Azow;Azow
287;169;94;128;Kouban;Kouban
288;41;96;192;Cherkassk;Cherkassk
289;169;98;255;Chernigov;Chernigov
290;41;100;0;Poltava;Poltava
291;169;102;64;Kharkov;Kharkov
292;41;104;128;Mogilyov;Mogilyov
293;169;106;192;Smolensk;Smolensk
294;42;108;255;Tver;Tver
295;170;110;0;Moskva;Moskva
296;42;112;64;Kaluga;Kaluga
297;74;227;77;Bryansk;Bryansk
298;42;116;192;Kursk;Kursk
299;170;118;255;Voronezh;Voronezh
300;42;120;0;Tula;Tula
301;171;122;64;Ryazan;Ryazan
302;43;124;128;Tambow;Tambow
303;171;126;192;Saratow;Saratow
304;43;128;255;Pensa;Pensa
305;171;130;0;Perm;Perm
306;43;132;64;Nijni-Novgorod;Nijni-Novgorod
307;171;134;128;Vladimir;Vladimir
308;44;136;192;Yaroslavl;Yaroslavl
309;172;138;255;Olonets;Olonets
310;44;140;0;Novgorod;Novgorod
311;172;142;64;Kholm;Kholm
312;44;144;128;Vologda;Vologda
313;72;0;240;Archangelsk;Archangelsk
314;44;148;255;Ustyug;Ustyug
315;173;150;0;Finnmark;Finnmark
316;45;152;64;Kocaeli;Kocaeli
317;173;154;128;H??davendigar;H??davendigar
318;45;156;192;Sugla;Sugla
319;173;158;255;Mentese;Mentese
320;45;32;0;Rhodes;Rhodes
321;173;34;64;Cyprus;Cyprus
322;46;36;128;K??tahya;K??tahya
323;174;38;192;Konya;Konya
324;46;40;255;Karaman;Karaman
325;174;42;0;Kastamonu;Kastamonu
326;46;44;64;Ankara;Ankara
327;174;46;128;Adana;Adana
328;46;48;192;Sinop;Sinop
329;175;50;255;Sivas;Sivas
330;47;52;0;Trebizond;Trebizond
331;175;54;64;Erzurum;Erzurum
332;47;56;128;Marash;Marash
333;175;58;192;The Baleares;The Baleares
334;47;60;255;Tangiers;Tangiers
335;175;62;0;Mellila;Mellila
336;48;244;64;Tlemcen;Tlemcen
337;176;66;128;Oran;Oran
338;48;68;192;Al-Djazair;Al-Djazair
339;176;70;255;Kabylia;Kabylia
340;48;72;0;Constantine;Constantine
341;176;74;64;Tunis;Tunis
342;48;76;128;Toubkhal;Toubkhal
343;177;78;192;Fez;Fez
344;49;80;255;Marrakech;Marrakech
345;177;82;0;Safi;Safi
346;49;84;64;Figuig;Figuig
347;177;86;128;Ifni;Ifni
348;49;88;192;Sus;Sus
349;177;90;255;Atlas;Atlas
350;50;92;0;Aures;Aures
351;178;94;64;Biskra;Biskra
352;50;96;128;Gafsa;Gafsa
353;178;98;192;Tataouine;Tataouine
354;50;100;255;Tripolitania;Tripolitania
355;178;102;0;Sirt;Sirt
356;50;104;64;Cyrenaica;Cyrenaica
357;179;106;128;Darnah;Darnah
358;51;108;192;Alexandria;Alexandria
359;179;110;255;Fayyum;Fayyum
360;51;112;0;Qus;Qus
361;179;114;64;Cairo;Cairo
362;51;116;128;Rosetta;Rosetta
363;179;118;192;Damietta;Damietta
364;52;120;255;Gaza;Gaza
365;180;122;0;Sinai;Sinai
366;52;124;64;The Canarias;The Canarias
367;180;126;128;The Azores;The Azores
368;52;128;192;Madeira;Madeira
369;180;130;255;Orkney;Orkney
370;52;132;0;Reykjavik;Reykjavik
371;181;134;64;Akureyri;Akureyri
372;53;136;128;Tyrone;Tyrone
373;181;138;192;Meath;Meath
374;53;140;255;Leinster;Leinster
375;181;142;0;Munster;Munster
376;53;144;64;Connaught;Connaught
377;181;146;128;Aleppo;Aleppo
378;54;148;192;Tripoli;Tripoli
379;182;150;255;Jerusalem;Jerusalem
380;54;152;0;Al Karak;Al Karak
381;182;154;64;Ajlun;Ajlun
382;54;156;128;Damascus;Damascus
383;182;158;192;Tabuk;Tabuk
384;54;32;255;Medina;Medina
385;183;34;0;Mecca;Mecca
386;55;36;64;Bishah;Bishah
387;183;38;128;Mokha;Mokha
388;55;40;192;Aden;Aden
389;183;42;255;Mukalla;Mukalla
390;55;44;0;Sana'a;Sana'a
391;183;46;64;Najran;Najran
392;56;48;128;Al-Arid;Al-Arid
393;184;50;192;Jabal Shammar;Jabal Shammar
394;56;52;255;El Catif;El Catif
395;184;54;0;Qatar;Qatar
396;56;56;64;Bahrain;Bahrain
397;184;58;128;Bani Yas;Bani Yas
398;56;60;192;Qawasim;Qawasim
399;185;62;255;Suhar;Suhar
400;57;64;0;Muscat;Muscat
401;185;66;64;Dhofar;Dhofar
402;57;68;128;Mahra;Mahra
403;185;70;192;Nizwa;Nizwa
404;57;72;255;Liwa;Liwa
405;185;74;0;Tadmor;Tadmor
406;58;76;64;Haditha;Haditha
407;186;78;128;Ar Raqqa;Ar Raqqa
408;58;80;192;Basra;Basra
409;186;82;255;Karballa;Karballa
410;58;84;0;Baghdad;Baghdad
411;186;86;64;Mosul;Mosul
412;58;88;128;Ahvaz;Ahvaz
413;187;90;192;Lorestan;Lorestan
414;59;92;255;Hamadan;Hamadan
415;187;94;0;Kirkuk;Kirkuk
416;59;96;64;Azerbaijan;Azerbaijan
417;187;98;128;Gilan;Gilan
418;59;100;192;Diyarbakir;Diyarbakir
419;187;102;255;Yerevan;Yerevan
420;60;140;0;Ganja;Ganja
421;188;106;64;Shirvan;Shirvan
422;60;108;128;Imereti;Imereti
423;188;110;192;Kartli;Kartli
424;60;112;255;Ardabil;Ardabil
425;188;114;0;Dagestan;Dagestan
426;60;116;64;Amol;Amol
427;189;118;128;Shahrud;Shahrud
428;61;120;192;Rey;Rey
429;189;122;255;Isfahan;Isfahan
430;61;124;0;Bushehr;Bushehr
431;189;126;64;Hormuz;Hormuz
432;61;128;128;Kerman;Kerman
433;189;130;192;Dash-i-Lut;Dash-i-Lut
434;62;132;255;Quhistan;Quhistan
435;190;134;0;Sistan;Sistan
436;62;136;64;Birjand;Birjand
437;190;138;128;Atak;Atak
438;62;140;192;Kara Kum;Kara Kum
439;190;142;255;Mangyshlak;Mangyshlak
440;62;144;0;Qaraqalpak;Qaraqalpak
441;191;146;64;Khiva;Khiva
442;63;148;128;Bukhara;Bukhara
443;191;150;192;Ust Yurt;Ust Yurt
444;63;152;255;Charjuy;Charjuy
445;191;154;0;Marv;Marv
446;63;156;64;Herat;Herat
447;191;158;128;Kandahar;Kandahar
448;64;32;192;Gazni;Gazni
449;192;34;255;Ghor;Ghor
450;64;36;0;Balkh;Balkh
451;192;38;64;Kabul;Kabul
452;64;40;128;Badakhshan;Badakhshan
453;192;42;192;Qarshi;Qarshi
454;64;44;255;Samarkand;Samarkand
455;193;46;0;Kyrzyl-Kum;Kyrzyl-Kum
456;65;48;64;Turkestan;Turkestan
457;193;50;128;Tashkent;Tashkent
458;65;52;192;Kokand;Kokand
459;193;54;255;Taraz;Taraz
460;65;56;0;Uzkend;Uzkend
461;193;58;64;Zhetysu;Zhetysu
462;66;60;128;Mingrelia;Mingrelia
463;194;62;192;Circassia;Circassia
464;66;64;255;Astrakhan;Astrakhan
465;194;66;0;Nogay;Nogay
466;66;68;64;Sarai;Sarai
467;194;70;128;Borisoglebsk;Borisoglebsk
468;66;72;192;Khazaria;Khazaria
469;195;74;255;Ryn;Ryn
470;67;76;0;Bayuly;Bayuly
471;195;78;64;Alimuly;Alimuly
472;67;80;128;Zhetyru;Zhetyru
473;195;82;192;Samara;Samara
474;67;84;255;Yaik;Yaik
475;195;86;0;Bashkortostan;Bashkortostan
476;68;88;64;Kypshak;Kypshak
477;196;90;128;Nadym;Nadym
478;68;92;192;Argyn;Argyn
479;196;94;255;Kerey;Kerey
480;68;96;0;Kulunda;Kulunda
481;196;98;64;Bermuda;Bermuda
482;68;100;128;Bahamas;Bahamas
483;197;102;192;Turks Islands;Turks Islands
484;69;104;255;Havana;Havana
485;197;106;0;Moron;Moron
486;69;108;64;Guantamano;Guantamano
487;197;110;128;Jamaica;Jamaica
488;69;112;192;Les Cayes;Les Cayes
489;197;114;255;Tortuga;Tortuga
490;70;116;0;Barahonas;Barahonas
491;198;118;64;Curacao;Curacao
492;70;120;128;Puerto Rico;Puerto Rico
493;198;122;192;St. Thomas;St. Thomas
494;70;124;255;St. Martin;St. Martin
495;198;126;0;St. Kitts;St. Kitts
496;70;128;64;Antigua;Antigua
497;199;130;128;Guadelopue;Guadelopue
498;71;132;192;Dominica;Dominica
499;199;134;255;Martinique;Martinique
500;71;136;0;St. Lucia;St. Lucia
501;199;138;64;Barbados;Barbados
502;71;140;128;Trinidad;Trinidad
503;199;142;192;Kutch;Kutch
504;72;144;255;Thatta;Thatta
505;200;146;0;Sehwan;Sehwan
506;72;148;64;Multan;Multan
507;200;150;128;Lahore;Lahore
508;72;152;192;Kashmir;Kashmir
509;200;154;255;Kangra;Kangra
510;72;156;0;Sirhind;Sirhind
511;201;158;64;Garhwal;Garhwal
512;73;32;128;Jangladesh;Jangladesh
513;201;34;192;Jaisalmer;Jaisalmer
514;73;36;255;Marwar;Marwar
515;201;38;0;Girnar;Girnar
516;73;40;64;Baroda;Baroda
517;201;42;128;Surat;Surat
518;74;44;192;Chittorgarh;Chittorgarh
519;202;46;255;Dundhar;Dundhar
520;74;48;0;Mewat;Mewat
521;202;50;64;Rajkot;Rajkot
522;74;52;128;Delhi;Delhi
523;202;54;192;Oudh;Oudh
524;74;56;255;Central Doab;Central Doab
525;203;58;0;Gird;Gird
526;75;60;64;Mandu;Mandu
527;203;62;128;Khandesh;Khandesh
528;75;64;192;Hadoti;Hadoti
529;203;66;255;North Konkan;North Konkan
530;75;68;0;South Konkan;South Konkan
531;203;70;64;North Kanara;North Kanara
532;76;72;128;Raichur Doab;Raichur Doab
533;204;74;192;Mysore;Mysore
534;76;76;255;Malabar;Malabar
535;204;78;0;Kochin;Kochin
536;76;80;64;Madurai;Madurai
537;204;82;128;Venad;Venad
538;76;84;192;Kongu;Kongu
539;205;86;255;Tondainadu;Tondainadu
540;77;88;0;Coromandel;Coromandel
541;205;90;64;Vijayanagar;Vijayanagar
542;77;92;128;Golconda;Golconda
543;205;94;192;Velanadu;Velanadu
544;77;96;255;Ahmadnagar;Ahmadnagar
545;205;98;0;Marathwada;Marathwada
546;78;100;64;East Berar;East Berar
547;206;102;128;Bastar;Bastar
548;78;104;192;West Berar;West Berar
549;206;106;255;Kalingandhra;Kalingandhra
550;78;108;0;Mahakoshal;Mahakoshal
551;206;110;64;Mandla;Mandla
552;78;112;128;Cuttack;Cuttack
553;207;114;192;Sambalpur;Sambalpur
554;79;116;255;Baisi Rayja;Baisi Rayja
555;207;118;0;Jaunpur;Jaunpur
556;79;120;64;Lower Doab;Lower Doab
557;207;122;128;Katmandu;Katmandu
558;79;124;192;Patna;Patna
559;207;126;255;Bundelkhand;Bundelkhand
560;80;128;0;Jharkand;Jharkand
561;208;130;64;Bengal Delta;Bengal Delta
562;80;132;128;Koch;Koch
563;208;134;192;Gauda;Gauda
564;80;136;255;Dacca;Dacca
565;208;138;0;Bhutan;Bhutan
566;80;140;64;Assam;Assam
567;209;142;128;Sylhet;Sylhet
568;81;144;192;Chittagong;Chittagong
569;209;146;255;Bijapur;Bijapur
570;81;148;0;Naga;Naga
571;209;150;64;Darrang;Darrang
572;81;152;128;Kotte;Kotte
573;209;154;192;Kachar;Kachar
574;82;156;255;The Andamans;The Andamans
575;210;158;0;Eastern Makran;Eastern Makran
576;82;32;64;Indus;Indus
577;210;34;128;Quetta;Quetta
578;82;36;192;Khyber;Khyber
579;210;38;255;Arakan;Arakan
580;82;40;0;Chin;Chin
581;211;42;64;Sagaing;Sagaing
582;83;44;128;Kachin;Kachin
583;211;46;192;Hsenwi;Hsenwi
584;83;48;255;Kyuakse;Kyuakse
585;211;50;0;Toungoo;Toungoo
586;83;52;64;Pegu;Pegu
587;211;54;128;Keng Tung;Keng Tung
588;84;56;192;Mongnai;Mongnai
589;212;58;255;Chiang Mai;Chiang Mai
590;84;60;0;Moulmein;Moulmein
591;212;62;64;Tenasserim;Tenasserim
592;84;64;128;Ratchaburi;Ratchaburi
593;212;66;192;Ligore;Ligore
594;84;68;255;Pattani;Pattani
595;213;70;0;Perak;Perak
596;85;72;64;Malacca;Malacca
597;213;74;128;Johor;Johor
598;85;76;192;Pahang;Pahang
599;213;78;255;Kelantan;Kelantan
600;85;80;0;Ayutthaya;Ayutthaya
601;213;82;64;Sukthothai;Sukthothai
602;86;84;128;Chian Rai;Chian Rai
603;214;86;192;Rayong;Rayong
604;86;88;255;Udong;Udong
605;214;90;0;Prei Nokoi;Prei Nokoi
606;86;92;64;Panduranga;Panduranga
607;214;94;128;Vijaya;Vijaya
608;86;96;192;Champassak;Champassak
609;215;98;255;Siem Reap;Siem Reap
610;87;100;0;Binh Tri Thien;Binh Tri Thien
611;215;102;64;Thakhek;Thakhek
612;87;104;128;Khorat;Khorat
613;215;106;192;Thang Long;Thang Long
614;87;108;255;Vientiane;Vientiane
615;215;110;0;Luang Prabang;Luang Prabang
616;88;112;64;Viet Bac;Viet Bac
617;216;114;128;Aceh;Aceh
618;88;116;192;Aru;Aru
619;216;118;255;Minangkabau;Minangkabau
620;88;120;0;Siak;Siak
621;216;122;64;Benkulen;Benkulen
622;88;124;128;Palembang;Palembang
623;217;126;192;Lampung;Lampung
624;89;128;255;Banten;Banten
625;217;130;0;Priangan;Priangan
626;89;132;64;Mataram;Mataram
627;217;134;128;Blambangan;Blambangan
628;89;136;192;Surabaya;Surabaya
629;217;138;255;Demak;Demak
630;90;140;0;Sunda;Sunda
631;218;142;64;Bali-Lombok;Bali-Lombok
632;90;144;128;Sumbawa;Sumbawa
633;218;146;192;Flores;Flores
634;90;148;255;Sumba;Sumba
635;218;150;0;Timor;Timor
636;90;152;64;Brunei;Brunei
637;219;154;128;Sabah;Sabah
638;91;156;192;Kutei;Kutei
639;219;158;255;Banjarmasin;Banjarmasin
640;91;32;0;Sukadane;Sukadane
641;219;34;64;Makassar;Makassar
642;91;36;128;Bone;Bone
643;219;38;192;Pose;Pose
644;92;40;255;Menade;Menade
645;220;42;0;Buru;Buru
646;92;44;64;Ambom;Ambom
647;220;46;128;Ceram;Ceram
648;92;48;192;Halmahera;Halmahera
649;220;50;255;Ternate;Ternate
650;92;52;0;Tidore;Tidore
651;221;54;64;Sulu;Sulu
652;93;56;128;Maguindanae;Maguindanae
653;221;58;192;Tagoloan;Tagoloan
654;93;60;255;Samar;Samar
655;221;62;0;Palawan;Palawan
656;93;64;64;Manila;Manila
657;221;66;128;Samtoy;Samtoy
658;94;68;192;Cagayan;Cagayan
659;222;70;255;Riau;Riau
660;94;72;0;Xishuan Banna;Xishuan Banna
661;222;74;64;Dali;Dali
662;94;76;128;Yunnan;Yunnan
663;222;78;192;Wenshan;Wenshan
664;94;80;255;Guangxi;Guangxi
665;223;82;0;XXX;XXX
666;95;84;64;Hainan;Hainan
667;223;86;128;Guangzhou;Guangzhou
668;95;88;192;Macau;Macau
669;223;90;255;Fuzhou;Fuzhou
670;95;92;0;Ganzhou;Ganzhou
671;223;94;64;Changsha;Changsha
672;96;96;128;Chenzhou;Chenzhou
673;224;98;192;Bozhou;Bozhou
674;96;100;255;Guiyang;Guiyang
675;224;102;0;Liangshan;Liangshan
676;96;104;64;U-Tsang;U-Tsang
677;224;106;128;Qamdo;Qamdo
678;96;108;192;Kham;Kham
679;225;110;255;Sichuan Pendi;Sichuan Pendi
680;97;112;0;Shenquing;Shenquing
681;225;114;64;Yichuan;Yichuan
682;97;116;128;Hanyang;Hanyang
683;225;118;192;Nanchang;Nanchang
684;97;120;255;Hangzhou;Hangzhou
685;225;122;0;Huai'an;Huai'an
686;98;124;64;Anqing;Anqing
687;226;126;128;Running;Running
688;98;128;192;Kaifeng;Kaifeng
689;226;130;255;Fengyuan;Fengyuan
690;98;132;0;Shandong Bandao;Shandong Bandao
691;226;134;64;Jinan;Jinan
692;98;136;128;Handan;Handan
693;227;138;192;Sanguan;Sanguan
694;99;140;255;Changzhi;Changzhi
695;227;142;0;Beijing;Beijing
696;99;144;64;Xuan Fu;Xuan Fu
697;227;146;128;Datong;Datong
698;99;148;192;Guyuan;Guyuan
699;227;150;255;Lanzhou;Lanzhou
700;100;152;0;Shaanxi;Shaanxi
701;228;154;64;Ordos;Ordos
702;100;156;128;Ulaanchab;Ulaanchab
703;228;158;192;Chengde;Chengde
704;100;32;255;Liaoxi;Liaoxi
705;228;34;0;Dangla;Dangla
706;100;36;64;Amdo;Amdo
707;229;38;128;Yumen;Yumen
708;101;40;192;Gansu;Gansu
709;229;42;255;Ningxia;Ningxia
710;101;44;0;Hotan;Hotan
711;229;46;64;Qarqan;Qarqan
712;101;48;128;Uighuristan;Uighuristan
713;229;50;192;Kuruk Tag;Kuruk Tag
714;102;52;255;Dzungaria;Dzungaria
715;230;54;0;Urumqi;Urumqi
716;102;56;64;Tannu Tuva;Tannu Tuva
717;230;58;128;Selenge;Selenge
718;102;60;192;Govi Altay;Govi Altay
719;230;62;255;Khangai;Khangai
720;102;64;0;Dorno Govi;Dorno Govi
